nan,nan_1,nan_2,nan_3,nan_4,nan_5,nan_6,nan_7,nan_8,nan_9,nan_10,nan_11,nan_12,nan_13,nan_14,nan_15,nan_16,nan_17,nan_18,nan_19,nan_20,nan_21,nan_22,nan_23,nan_24,nan_25,nan_26,nan_27,nan_28,nan_29,nan_30,nan_31,nan_32,nan_33,nan_34,nan_35,nan_36,nan_37
Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-106,One time Project,nan,Completed,nan,2025-08-08 00:00:00,Purchase Order,2025-08-08 00:00:00,2025-08-20 00:00:00,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,2025-09-12 00:00:00,SDPL/FY25-26/442,339130,400173.4,339130,400173.4,400173.4,0,0,0,nan,nan,1,nan,1,Fully Billed,nan,nan,nan,nan,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-108,One time Project,nan,Completed,nan,2025-08-18 00:00:00,Purchase Order,2025-08-14 00:00:00,2025-08-30 00:00:00,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,2025-09-24 00:00:00,SDPL/FY25-26/476,477247.795732,563152.39896376,477247.795732,563152.39896376,563151.8788000001,0,0,0.5201637600000001,nan,nan,537 Acres,nan,537,Fully Billed,nan,November,nan,Closed,nan,nan,nan
Rafiki,WOCOMPANY_048,SDPLDEAL-109,Annual Rate Contract,nan,Ongoing,nan,2025-08-11 00:00:00,Purchase Order,2025-09-01 00:00:00,2027-08-31 00:00:00,OWNER_003,Renewables,"Topography Survey: RGB, Thermography",NONE,nan,nan,616600,727588,nan,0,nan,616600,727588,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,Update Required
Alias_162,WOCOMPANY_052,SDPLDEAL-111,nan,nan,nan,nan,2024-11-22 00:00:00,nan,nan,nan,nan,Mining,Others,DMO,nan,nan,863240,1018623.2000000001,739920,873105.6000000001,864473.2000000001,123320.00000000001,145517.6,8632.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ben Tennyson,WOCOMPANY_034,SDPLDEAL-112,nan,nan,Completed,nan,2024-05-16 00:00:00,nan,nan,nan,nan,Renewables,"Topography Survey: RGB, Hydrology",nan,nan,nan,215810,254655.80000000002,215810,254655.80000000002,254655.80000000002,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-113,nan,nan,nan,nan,2024-12-20 00:00:00,nan,nan,nan,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",nan,nan,nan,607351,716674.18,607351,716674.18,716674.18,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-115,nan,nan,Completed,nan,2025-03-24 00:00:00,nan,nan,nan,nan,Renewables,Hydrology,nan,nan,nan,616600,727588,616600,727588,727588,0,0,0,nan,nan,nan,nan,nan,Fully Billed,nan,nan,nan,nan,nan,nan,nan
Ace,WOCOMPANY_013,SDPLDEAL-116,nan,nan,Completed,nan,2025-03-05 00:00:00,nan,nan,nan,nan,Others,Topography Survey: RGB,nan,nan,nan,176347.6,208090.168,176347.6,208090.168,nan,0,0,208090.168,nan,nan,nan,nan,nan,Fully Billed,nan,nan,nan,nan,nan,nan,nan
Shanks,WOCOMPANY_012,SDPLDEAL-117,nan,nan,Completed,nan,2025-03-31 00:00:00,nan,nan,nan,nan,Renewables,Thermography,nan,nan,nan,221636.87000000002,261531.50660000002,221636.87000000002,261531.50660000002,nan,0,0,261531.50660000002,nan,nan,nan,nan,nan,Fully Billed,nan,nan,nan,nan,nan,nan,nan
Bulbasaur,WOCOMPANY_050,SDPLDEAL-118,nan,nan,Completed,nan,2025-03-25 00:00:00,nan,nan,nan,nan,Renewables,Topography Survey: RGB,nan,nan,nan,308300,363794,308300,363794,nan,0,0,363794,nan,nan,nan,nan,nan,Fully Billed,nan,nan,nan,nan,nan,nan,nan
Sesshomaru,WOCOMPANY_017,SDPLDEAL-119,nan,nan,Completed,nan,2024-12-03 00:00:00,nan,nan,nan,nan,Renewables,"Hydrology, Topography Survey: RGB",nan,2025-04-16 00:00:00,SDPL/FY25-26/002,446418.4,526773.712,446418.4,526773.712,526773.712,0,0,0,nan,nan,nan,nan,nan,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Mr. Krabs,WOCOMPANY_031,SDPLDEAL-120,nan,nan,Completed,nan,2025-01-21 00:00:00,nan,nan,nan,nan,Mining,Volumetric survey,nan,2025-06-20 00:00:00,SDPL/FY25-26/083,554940,654829.2000000001,554940,654829.2000000001,588236.4,0,0,66592.8,nan,nan,nan,nan,nan,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Pumbaa,WOCOMPANY_047,SDPLDEAL-121,Annual Rate Contract,nan,Ongoing,nan,2025-09-02 00:00:00,LOA/LOI,2025-09-02 00:00:00,2026-09-02 00:00:00,OWNER_004,Renewables,Thermography,SPECTRA,nan,nan,5224698.44,6165144.159200001,2330748,2750282.64,nan,2893950.44,3414861.5192,2750282.64,nan,nan,Rate based on MW slabs,nan,nan,Partially Billed,nan,nan,nan,Open,nan,nan,Partially Billed
Stitch,WOCOMPANY_044,SDPLDEAL-122,nan,nan,Completed,nan,2025-04-01 00:00:00,nan,nan,nan,nan,Renewables,Flood Risk,nan,2025-04-29 00:00:00,SDPL/FY25-26/009,431620,509311.60000000003,431620,509311.60000000003,509311.60000000003,0,0,0,nan,nan,nan,nan,nan,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Sasuke,WOCOMPANY_002,SDPLDEAL-123,nan,nan,Completed,nan,2024-12-25 00:00:00,nan,nan,nan,nan,Mining,LiDAR Survey: LiDAR,nan,nan,nan,371193.2,438007.976,371193.2,438007.976,nan,0,0,438007.976,nan,nan,nan,nan,nan,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-124,nan,nan,nan,nan,2025-07-24 00:00:00,nan,nan,nan,nan,Renewables,Others,nan,2025-07-31 00:00:00,SDPL/FY25-26/378,24664,29103.52,24664,29103.52,nan,0,0,29103.52,nan,nan,nan,nan,nan,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Timon,WOCOMPANY_046,SDPLDEAL-125,Proof of Concept,nan,Completed,nan,2025-09-08 00:00:00,Purchase Order,2025-09-11 00:00:00,2025-10-26 00:00:00,OWNER_001,Renewables,Others,SPECTRA,nan,nan,277470,327414.60000000003,277470,327414.60000000003,nan,0,0,327414.60000000003,nan,nan,45days,nan,45,Fully Billed,nan,Dec,nan,nan,nan,nan,nan
Gohan,WOCOMPANY_026,SDPLDEAL-126,One time Project,nan,Completed,nan,2025-09-10 00:00:00,Purchase Order,2025-08-01 00:00:00,2025-09-05 00:00:00,OWNER_001,Construction,Topography Survey: RGB,NONE,2025-09-15 00:00:00,SDPL/FY25-26/448,788298.4360000001,930192.1544799999,788298.4360000001,930192.1544799999,914425.1992,0,0,15766.955279999876,nan,nan,1,nan,1,Fully Billed,nan,October,nan,Closed,nan,nan,nan
